coors
"(360, 240.1035790868798)"
"(362, 240.2059432397176)"
"(363, 240.25899327756179)"
"(369, 240.60363333079044)"
"(370, 240.66548888220188)"
"(374, 240.925615281389)"
"(375, 240.99383318933997)"
"(379, 241.27950181339725)"
"(380, 241.354125113073)"
"(384, 241.66547312676266)"
"(385, 241.7465269206034)"
"(384, 241.66547312676266)"
"(377, 241.13410512948576)"
"(376, 241.06332927464643)"
"(356, 239.9137025559753)"
"(355, 239.86930745885763)"
"(354, 239.8261347950961)"
"(353, 239.78418085643716)"
"(336, 239.2535921226562)"
"(335, 239.23288810825807)"
"(299, 239.21623670423497)"
"(298, 239.23520418612884)"
"(297, 239.25518848218388)"
"(296, 239.27618805002726)"
"(293, 239.34526509961267)"
"(292, 239.37031320786258)"
"(291, 239.39637106490807)"
"(288, 239.48059752584885)"
"(287, 239.51068960198563)"
"(286, 239.5417898782037)"
"(266, 240.37724786876072)"
"(265, 240.4298717228828)"
"(250, 241.34969769895565)"
"(249, 241.42003022383818)"
"(236, 242.44488236992112)"
"(235, 242.53262272291607)"
"(225, 243.48602463296157)"
"(224, 243.58931629491798)"
"(215, 244.58940837029644)"
"(214, 244.7087290479098)"
"(204, 246.00034546249037)"
"(203, 246.139892321824)"
"(196, 247.17411656309682)"
"(195, 247.33041286464444)"
"(193, 247.64972360385661)"
"(192, 247.8128019284377)"
"(188, 248.48870416394533)"
"(187, 248.66374697702108)"
"(183, 249.3892468809437)"
"(182, 249.5771373093805)"
"(179, 250.15705178937253)"
"(178, 250.35590141992833)"
"(174, 251.1801008259846)"
"(173, 251.39355919415598)"
"(170, 252.05240201991313)"
"(169, 252.27831975901134)"
"(166, 252.97561967184873)"
"(165, 253.21472402914816)"
"(162, 253.95272027312538)"
"(161, 254.2057770204863)"
"(159, 254.72277851337785)"
"(158, 254.98682577970587)"
"(155, 255.80178205899355)"
"(154, 256.08121725561114)"
"(152, 256.6520899673016)"
"(151, 256.94363897836297)"
"(149, 257.53924597377284)"
"(148, 257.84341940736107)"
"(146, 258.4647997723434)"
"(145, 258.7821261702733)"
"(143, 259.4303551463456)"
"(142, 259.76138127236453)"
"(140, 260.43757083311084)"
"(139, 260.7828619610999)"
"(137, 261.4881613885724)"
"(136, 261.8483015907474)"
"(134, 262.583898051868)"
"(133, 262.95949048698014)"
"(131, 263.72660960994335)"
"(130, 264.1182768114802)"
"(128, 264.9181832621539)"
"(127, 265.3265674265406)"
"(125, 266.16056548486864)"
"(124, 266.5863287596685)"
"(123, 267.018035705031)"
"(122, 267.4557628960724)"
"(120, 268.34958812061086)"
"(118, 269.26843230384327)"
"(117, 269.73743608432727)"
"(116, 270.21293565158305)"
"(115, 270.6950129774005)"
"(114, 271.18375081875485)"
"(113, 271.679232721365)"
"(112, 272.1815430232515)"
"(111, 272.6907668582944)"
"(110, 273.2069901597915)"
"(109, 273.73029966401634)"
"(108, 274.26078291377604)"
"(107, 274.7985282619697)"
"(106, 275.343624875146)"
"(105, 275.8961627370618)"
"(104, 276.4562326522395)"
"(103, 277.02392624952563)"
"(101, 278.1825551487767)"
"(100, 278.7736778620766)"
"(99, 279.3727990872707)"
"(98, 279.9800146281957)"
"(96, 281.2191161045033)"
"(95, 281.85119789015204)"
"(94, 282.4917656991799)"
"(93, 283.14091959936445)"
"(91, 284.46539026518417)"
"(90, 285.1409114979185)"
"(87, 287.22186395487864)"
"(86, 287.933995370083)"
"(85, 288.6555448021841)"
"(84, 289.3866202182098)"
"(80, 292.40837247879847)"
"(79, 293.18872878635955)"
"(76, 295.591412164795)"
"(75, 296.4132288815158)"
"(67, 303.3813916680424)"
"(66, 304.3034352476626)"
