coors
"(147, 304.9113119137455)"
"(146, 305.14564607859097)"
"(131, 309.60490698638773)"
"(130, 309.979666897315)"
"(128, 310.76441424890857)"
"(127, 311.1751338427774)"
"(126, 311.598580419029)"
"(125, 312.0351324954482)"
"(121, 313.92014251260474)"
"(120, 314.42807657366046)"
"(119, 314.95149363472837)"
"(117, 316.04643885793945)"
"(116, 316.6188111080133)"
"(111, 319.74702451462525)"
"(110, 320.4290586560585)"
"(109, 321.13095535616003)"
"(108, 321.8531820515281)"
"(107, 322.59621164258533)"
"(106, 323.360522519503)"
"(106, 323.360522519503)"
"(105, 324.1465985881223)"
"(104, 324.95492929587897)"
"(103, 325.78600965772523)"
"(102, 326.64034028205293)"
"(101, 327.51842739661686)"
"(100, 328.42078287445696)"
"(99, 329.3479242598222)"
"(98, 330.3003747940926)"
"(99, 329.3479242598222)"
"(98, 330.3003747940926)"
"(97, 331.2786634417031)"
"(96, 332.28332491606557)"
"(95, 333.3148997054926)"
"(95, 333.3148997054926)"
"(96, 332.28332491606557)"
"(96, 332.28332491606557)"
"(95, 333.3148997054926)"
"(93, 335.4609802128296)"
"(92, 336.5765960151729)"
"(92, 336.5765960151729)"
"(91, 337.7213453532929)"
"(91, 337.7213453532929)"
"(89, 340.1005295739359)"
"(89, 340.1005295739359)"
"(88, 341.33612177701264)"
"(89, 340.1005295739359)"
"(87, 342.6031622088203)"
"(87, 342.6031622088203)"
"(86, 343.90224449830737)"
"(86, 343.90224449830737)"
"(87, 342.6031622088203)"
"(84, 346.5989393626845)"
"(85, 345.23396830855165)"
"(85, 345.23396830855165)"
"(84, 346.5989393626845)"
"(84, 346.5989393626845)"
"(81, 350.8994846648987)"
"(81, 350.8994846648987)"
"(82, 349.43107655094184)"
"(81, 350.8994846648987)"
"(81, 350.8994846648987)"
"(80, 352.40362403425513)"
"(79, 353.9441310712505)"
"(80, 352.40362403425513)"
"(81, 350.8994846648987)"
"(80, 352.40362403425513)"
"(80, 352.40362403425513)"
"(79, 353.9441310712505)"
"(79, 353.9441310712505)"
"(78, 355.5216484037146)"
"(78, 355.5216484037146)"
"(77, 357.1368249009905)"
"(77, 357.1368249009905)"
"(75, 360.482782230456)"
"(75, 360.482782230456)"
"(74, 362.2148922422058)"
"(74, 362.2148922422058)"
"(73, 363.9873198297338)"
"(73, 363.9873198297338)"
"(72, 365.8007454587949)"
"(72, 365.8007454587949)"
"(71, 367.6558559921949)"
"(71, 367.6558559921949)"
"(69, 371.49391136402863)"
"(69, 371.49391136402863)"
"(67, 375.50710977377685)"
"(67, 375.50710977377685)"
"(66, 377.5811734823562)"
"(66, 377.5811734823562)"
"(65, 379.70117906186897)"
"(65, 379.70117906186897)"
"(64, 381.86785888032176)"
"(64, 381.86785888032176)"
"(63, 384.0819519101558)"
"(63, 384.0819519101558)"
"(62, 386.34420375417005)"
"(62, 386.34420375417005)"
"(60, 391.01619960326104)"
"(60, 391.01619960326104)"
"(59, 393.42746819903067)"
"(59, 393.42746819903067)"
"(57, 398.4044086762379)"
"(57, 398.4044086762379)"
"(55, 403.5924484459465)"
"(55, 403.5924484459465)"
"(52, 411.78428219349234)"
"(52, 411.78428219349234)"
"(51, 414.6274130093942)"
"(51, 414.6274130093942)"
"(49, 420.48740675250065)"
"(49, 420.48740675250065)"
"(47, 426.5846393459121)"
"(47, 426.5846393459121)"
"(46, 429.7243450467023)"
"(46, 429.7243450467023)"
"(45, 432.9259243733212)"
"(45, 432.9259243733212)"
"(44, 436.19024670783045)"
"(44, 436.19024670783045)"
"(42, 442.91063356916015)"
"(42, 442.91063356916015)"
"(41, 446.3684725782649)"
