X,Y
[217],[386.86812511902644]
[216],[388.431114930625]
[216],[388.431114930625]
[214],[391.52980526220745]
[214],[391.52980526220745]
[213],[393.0652125610668]
[213],[393.0652125610668]
[210],[397.61436582987335]
[210],[397.61436582987335]
[208],[400.59894134848764]
[208],[400.59894134848764]
[206],[403.5448410869303]
[206],[403.5448410869303]
[204],[406.45245734508535]
[204],[406.45245734508535]
[202],[409.3226629017463]
[202],[409.3226629017463]
[200],[412.15684691208844]
[200],[412.15684691208844]
[197],[416.3449892508197]
[197],[416.3449892508197]
[195],[419.09890958790675]
[195],[419.09890958790675]
[193],[421.82625515561085]
[193],[421.82625515561085]
[190],[425.8767336289329]
[190],[425.8767336289329]
[188],[428.5574007793748]
[188],[428.5574007793748]
[185],[432.56395390786383]
[185],[432.56395390786383]
[183],[435.23559654294877]
[183],[435.23559654294877]
[180],[439.26419196579445]
[180],[439.26419196579445]
[177],[443.34612440555065]
[177],[443.34612440555065]
[174],[447.51728252995963]
[174],[447.51728252995963]
[171],[451.8186225302816]
[171],[451.8186225302816]
[169],[454.78114018629094]
[169],[454.78114018629094]
[167],[457.83706916768097]
[167],[457.83706916768097]
[168],[456.29644071777875]
[172],[450.3676329507671]
[172],[450.3676329507671]
[175],[446.1145616250633]
[175],[446.1145616250633]
[177],[443.34612440555065]
[177],[443.34612440555065]
[180],[439.26419196579445]
[180],[439.26419196579445]
[183],[435.23559654294877]
[183],[435.23559654294877]
[185],[432.56395390786383]
[185],[432.56395390786383]
[188],[428.5574007793748]
[188],[428.5574007793748]
[190],[425.8767336289329]
[190],[425.8767336289329]
[193],[421.82625515561085]
[193],[421.82625515561085]
[195],[419.09890958790675]
[195],[419.09890958790675]
[197],[416.3449892508197]
[197],[416.3449892508197]
[200],[412.15684691208844]
[200],[412.15684691208844]
[203],[407.89216216213936]
[203],[407.89216216213936]
[205],[405.00339178426475]
[205],[405.00339178426475]
[207],[402.0767120120345]
[207],[402.0767120120345]
[209],[399.11149479330743]
[209],[399.11149479330743]
[211],[396.1075746060833]
[211],[396.1075746060833]
[213],[393.0652125610668]
[213],[393.0652125610668]
[214],[391.52980526220745]
[214],[391.52980526220745]
[217],[386.86812511902644]
[217],[386.86812511902644]
[218],[385.29626645882126]
[216],[388.431114930625]
[215],[389.98506050415926]
[215],[389.98506050415926]
[216],[388.431114930625]
[216],[388.431114930625]
[325],[167.51370086974384]
[325],[167.51370086974384]
[324],[171.5481905469005]
[324],[171.5481905469005]
[325],[167.51370086974384]
[326],[163.3579056221297]
[326],[163.3579056221297]
[325],[167.51370086974384]
[325],[167.51370086974384]
[324],[171.5481905469005]
[323],[175.4657704632791]
[322],[179.27073408656906]
[322],[179.27073408656906]
[321],[182.96727366421874]
[321],[182.96727366421874]
[321],[182.96727366421874]
[322],[179.27073408656906]
[322],[179.27073408656906]
[323],[175.4657704632791]
[324],[171.5481905469005]
[325],[167.51370086974384]
[325],[167.51370086974384]
[324],[171.5481905469005]
[324],[171.5481905469005]
[323],[175.4657704632791]
[323],[175.4657704632791]
[320],[186.55948134535902]
[319],[190.05135030239217]
[319],[190.05135030239217]
[319],[190.05135030239217]
[320],[186.55948134535902]
[318],[193.44677585292993]
[318],[193.44677585292993]
[317],[196.7495565815716]
[317],[196.7495565815716]
[316],[199.9633954616529]
[316],[199.9633954616529]
[315],[203.09190097711144]
[315],[203.09190097711144]
[314],[206.13858824419185]
[314],[206.13858824419185]
[313],[209.10688013335493]
[313],[209.10688013335493]
[312],[212.00010839095376]
[312],[212.00010839095376]
[311],[214.82151476111358]
[311],[214.82151476111358]
