coors
"(299, 239.88401449169686)"
"(298, 239.91828721966544)"
"(282, 240.68314706202892)"
"(281, 240.74481865773322)"
"(270, 241.5351021023628)"
"(269, 241.61730395087372)"
"(260, 242.43713849368095)"
"(259, 242.5372634700189)"
"(251, 243.40502498733343)"
"(250, 243.52196527760785)"
"(244, 244.2640390953559)"
"(243, 244.39454006832278)"
"(237, 245.2193166406958)"
"(236, 245.36383003032)"
"(231, 246.11720276636603)"
"(230, 246.2741093089264)"
"(224, 247.2600495543337)"
"(223, 247.4318903064568)"
"(218, 248.3239785417372)"
"(217, 248.50905341726093)"
"(212, 249.46836398227634)"
"(211, 249.66709853123513)"
"(207, 250.48536167047817)"
"(206, 250.6958229220408)"
"(201, 251.78416189486643)"
"(200, 252.00913114107743)"
"(196, 252.9338105793127)"
"(195, 253.17125258459066)"
"(191, 254.14654896487076)"
"(190, 254.39683024269877)"
"(189, 254.6497249432602)"
"(188, 254.90524860097668)"
"(186, 255.42424567817196)"
"(185, 255.68775092273103)"
"(182, 256.494487662775)"
"(181, 256.7688617602377)"
"(179, 257.32590311809264)"
"(178, 257.608604400563)"
"(175, 258.47363820433634)"
"(174, 258.767684733416)"
"(172, 259.364437927582)"
"(171, 259.6671809301992)"
"(169, 260.28149186973064)"
"(168, 260.59309717277404)"
"(166, 261.2253021673374)"
"(165, 261.54594027534176)"
"(163, 262.1963850878017)"
"(162, 262.526231280854)"
"(160, 263.19527132308576)"
"(159, 263.5345057547313)"
"(157, 264.2225062834337)"
"(156, 264.57131407858276)"
"(154, 265.2786503910903)"
"(153, 265.63722174392416)"
"(152, 265.999090771632)"
"(151, 266.36427937402004)"
"(149, 267.10470387828576)"
"(148, 267.47998455962625)"
"(147, 267.85867437699005)"
"(146, 268.24079621728606)"
"(144, 269.0154285207526)"
"(143, 269.4079857678094)"
"(142, 269.80406860798837)"
"(141, 270.2037009455191)"
"(139, 271.0137107662147)"
"(138, 271.4241370981252)"
"(137, 271.8382106272963)"
"(136, 272.25595630549634)"
"(134, 273.10256498293484)"
"(133, 273.5314789562143)"
"(132, 273.9641670290224)"
"(131, 274.4006552308841)"
"(130, 274.840969810502)"
"(129, 275.2851372369648)"
"(128, 275.7331842009563)"
"(127, 276.1851376159639)"
"(125, 277.10087257424766)"
"(124, 277.56470906939524)"
"(123, 278.0325619217195)"
"(122, 278.5044591768569)"
"(121, 278.98042911050004)"
"(120, 279.4605002296059)"
"(119, 279.94470127360523)"
"(118, 280.4330612156107)"
"(117, 280.9256092636259)"
"(116, 281.4223748617542)"
"(115, 281.9233876914069)"
"(114, 282.42867767251255)"
"(112, 283.4522099686342)"
"(111, 283.9705133269708)"
"(110, 284.49321592581896)"
"(109, 285.0203488958232)"
"(108, 285.55194361339727)"
"(107, 286.0880317019329)"
"(106, 286.6286450330088)"
"(103, 288.2779589454485)"
"(102, 288.836996968512)"
"(101, 289.4007233571157)"
"(100, 289.96917149734185)"
"(98, 291.1203678614392)"
"(97, 291.7031841455492)"
"(96, 292.2908583041767)"
"(95, 292.8834250187306)"
"(93, 294.0833761559177)"
"(92, 294.6908312596603)"
"(91, 295.3033202839655)"
"(90, 295.9208792357862)"
"(88, 297.17135229467)"
"(87, 297.80433976414906)"
"(85, 299.08600203011747)"
"(84, 299.734751826816)"
"(83, 300.3888311919701)"
"(82, 301.0482783162569)"
"(80, 302.38342999817104)"
"(79, 303.0592123340117)"
"(76, 305.1198579129988)"
"(75, 305.8179722284809)"
"(73, 307.2312918252476)"
"(72, 307.94657887548385)"
"(70, 309.3946140789188)"
"(69, 310.12744574764724)"
"(66, 312.36170429153646)"
"(65, 313.1185209539436)"
"(62, 315.4257698095236)"
"(61, 316.2072656801443)"
"(57, 319.39650500366224)"
"(56, 320.20985559574694)"
"(50, 325.2282657921871)"
"(49, 326.08815938570353)"
"(43, 331.3928709738369)"
"(42, 332.3016761977501)"
"(42, 332.3016761977501)"
"(41, 333.2176685811876)"
"(40, 334.1408990485353)"
"(19, 355.29447248036007)"
"(19, 355.29447248036007)"
"(9, 366.64457857446416)"
"(9, 366.64457857446416)"
"(8, 367.828341617711)"
"(9, 366.64457857446416)"
"(10, 365.46986359255294)"
"(11, 364.3041346145937)"
"(15, 359.7298504016659)"
"(15, 359.7298504016659)"
"(27, 346.8253357264544)"
"(27, 346.8253357264544)"
"(42, 332.3016761977501)"
"(43, 331.3928709738369)"
"(52, 323.5288049975551)"
"(53, 322.6891420810449)"
"(58, 318.58961638390474)"
"(59, 317.78914391443874)"
"(63, 314.65050987519265)"
"(64, 313.88144158614256)"
"(67, 311.61094821202363)"
"(68, 310.86620962746065)"
"(71, 308.6676724229375)"
"(72, 307.94657887548385)"
"(75, 305.8179722284809)"
"(76, 305.1198579129988)"
"(78, 303.74051798782955)"
"(79, 303.0592123340117)"
"(81, 301.7131316687587)"
"(82, 301.0482783162569)"
"(84, 299.734751826816)"
"(85, 299.08600203011747)"
"(86, 298.4425438883932)"
"(87, 297.80433976414906)"
"(90, 295.9208792357862)"
"(91, 295.3033202839655)"
"(92, 294.6908312596603)"
"(93, 294.0833761559177)"
"(95, 292.8834250187306)"
"(96, 292.2908583041767)"
"(97, 291.7031841455492)"
"(98, 291.1203678614392)"
"(100, 289.96917149734185)"
"(101, 289.4007233571157)"
"(102, 288.836996968512)"
"(103, 288.2779589454485)"
"(104, 287.7235761572818)"
"(105, 287.17381572759894)"
"(107, 286.0880317019329)"
"(109, 285.0203488958232)"
"(110, 284.49321592581896)"
"(111, 283.9705133269708)"
"(112, 283.4522099686342)"
"(113, 282.93827496472534)"
"(114, 282.42867767251255)"
"(115, 281.9233876914069)"
"(116, 281.4223748617542)"
"(118, 280.4330612156107)"
"(119, 279.94470127360523)"
"(120, 279.4605002296059)"
"(121, 278.98042911050004)"
"(122, 278.5044591768569)"
"(123, 278.0325619217195)"
"(124, 277.56470906939524)"
"(125, 277.10087257424766)"
"(126, 276.64102461948744)"
"(127, 276.1851376159639)"
"(128, 275.7331842009563)"
"(129, 275.2851372369648)"
"(131, 274.4006552308841)"
"(132, 273.9641670290224)"
"(133, 273.5314789562143)"
"(134, 273.10256498293484)"
"(135, 272.6773992976276)"
"(136, 272.25595630549634)"
"(138, 271.4241370981252)"
"(139, 271.0137107662147)"
"(140, 270.60690689172156)"
"(141, 270.2037009455191)"
