coors
"(189, 205.22852227478958)"
"(190, 205.13805095659413)"
"(191, 205.05049797227238)"
"(192, 204.96593641744877)"
"(193, 204.88443714383672)"
"(195, 204.73089773830017)"
"(196, 204.6589882563787)"
"(197, 204.59040239259147)"
"(198, 204.52520005598146)"
"(199, 204.4634390224314)"
"(202, 204.299349889245)"
"(203, 204.25188980967025)"
"(202, 204.299349889245)"
"(203, 204.25188980967025)"
"(205, 204.16811150858527)"
"(206, 204.13188201226686)"
"(207, 204.09948144743979)"
"(208, 204.07094922220918)"
"(209, 204.04632279610993)"
"(211, 204.00892754734346)"
"(212, 203.99622406702176)"
"(213, 203.9875571074397)"
"(214, 203.98295466216032)"
"(215, 203.9824428869292)"
"(216, 203.9860461181316)"
"(218, 204.0056859593394)"
"(219, 204.02176231144924)"
"(220, 204.0420331911191)"
"(221, 204.06651411482025)"
"(222, 204.09521889041727)"
"(223, 204.1281596356258)"
"(225, 204.206789165755)"
"(226, 204.25249390149722)"
"(227, 204.30246654541074)"
"(228, 204.35671104135358)"
"(229, 204.41522975378697)"
"(230, 204.47802348623654)"
"(232, 204.6164315313549)"
"(233, 204.6920398125187)"
"(234, 204.77191108760744)"
"(235, 204.85603863234414)"
"(236, 204.94441427226704)"
"(237, 205.0370284011902)"
"(238, 205.13386999965869)"
"(239, 205.2349266534122)"
"(240, 205.34018457183922)"
"(241, 205.44962860643952)"
"(242, 205.56324226927913)"
"(243, 205.68100775145305)"
"(244, 205.80290594154084)"
"(245, 205.92891644406708)"
"(246, 206.05901759796004)"
"(247, 206.19318649500926)"
"(249, 206.4736297607984)"
"(248, 206.33139899832494)"
"(247, 206.19318649500926)"
"(245, 205.92891644406708)"
"(244, 205.80290594154084)"
"(243, 205.68100775145305)"
"(242, 205.56324226927913)"
"(241, 205.44962860643952)"
"(240, 205.34018457183922)"
"(238, 205.13386999965869)"
"(237, 205.0370284011902)"
"(236, 204.94441427226704)"
"(235, 204.85603863234414)"
"(233, 204.6920398125187)"
"(232, 204.6164315313549)"
"(231, 204.5450914997501)"
"(230, 204.47802348623654)"
"(229, 204.41522975378697)"
"(228, 204.35671104135358)"
"(227, 204.30246654541074)"
"(226, 204.25249390149722)"
"(225, 204.206789165755)"
"(226, 204.25249390149722)"
"(227, 204.30246654541074)"
"(227, 204.30246654541074)"
"(226, 204.25249390149722)"
"(225, 204.206789165755)"
"(223, 204.1281596356258)"
"(222, 204.09521889041727)"
"(221, 204.06651411482025)"
"(220, 204.0420331911191)"
"(221, 204.06651411482025)"
"(223, 204.1281596356258)"
"(222, 204.09521889041727)"
"(221, 204.06651411482025)"
"(220, 204.0420331911191)"
"(219, 204.02176231144924)"
"(217, 203.99378689125385)"
"(216, 203.9860461181316)"
"(215, 203.9824428869292)"
"(214, 203.98295466216032)"
"(212, 203.99622406702176)"
"(211, 204.00892754734346)"
"(210, 204.0256376985648)"
"(209, 204.04632279610993)"
"(207, 204.09948144743979)"
"(206, 204.13188201226686)"
"(207, 204.09948144743979)"
"(208, 204.07094922220918)"
"(207, 204.09948144743979)"
"(206, 204.13188201226686)"
"(204, 204.2081285612605)"
"(203, 204.25188980967025)"
"(201, 204.35046141301027)"
"(200, 204.4051749531263)"
"(199, 204.4634390224314)"
"(198, 204.52520005598146)"
"(197, 204.59040239259147)"
"(196, 204.6589882563787)"
"(195, 204.73089773830017)"
"(194, 204.8060687776975)"
"(192, 204.96593641744877)"
"(191, 205.05049797227238)"
"(190, 205.13805095659413)"
"(26, 117.98122504342604)"
"(26, 117.98122504342604)"
"(45, 159.48525232352014)"
"(46, 161.2224060417876)"
"(51, 169.31369399805703)"
"(52, 170.81710956413076)"
"(56, 176.46682605347448)"
"(57, 177.79103184688236)"
"(60, 181.56058418314066)"
"(61, 182.75118437485568)"
"(64, 186.13254104194263)"
"(65, 187.19788768553286)"
"(67, 189.238950615503)"
"(68, 190.21566024486862)"
"(70, 192.08388516616836)"
"(71, 192.97636665968943)"
"(73, 194.68044960810582)"
"(74, 195.4929904554467)"
"(76, 197.04138618449397)"
"(77, 197.77815398176216)"
"(78, 198.4905697211502)"
"(79, 199.1790789530004)"
"(81, 200.4861384651685)"
"(82, 201.1055582712583)"
"(83, 201.70281065827191)"
"(84, 202.27831971239144)"
"(85, 202.8325052823429)"
"(86, 203.36578299785586)"
"(87, 203.87856428812077)"
"(88, 204.37125640024925)"
"(90, 205.29798127889595)"
"(91, 205.7328077953678)"
"(92, 206.14913267052748)"
"(93, 206.5473425179697)"
"(94, 206.92781987996224)"
"(95, 207.29094324590434)"
"(96, 207.6370870707859)"
"(97, 207.96662179364583)"
"(98, 208.27991385603124)"
"(99, 208.57732572045575)"
"(100, 208.85921588885842)"
"(101, 209.12593892106264)"
"(102, 209.37784545323478)"
"(104, 209.83859205461548)"
"(106, 210.24418301062283)"
"(108, 210.5972840417267)"
"(110, 210.900499861925)"
"(111, 211.0341982549642)"
"(112, 211.15637476942302)"
"(114, 211.36739323731402)"
"(115, 211.45684149118196)"
"(116, 211.53598050425902)"
"(117, 211.605104272906)"
"(119, 211.71446393922818)"
"(120, 211.7552697618755)"
"(122, 211.81053137382938)"
"(123, 211.82553570584)"
"(124, 211.83248220876217)"
"(123, 211.82553570584)"
"(122, 211.81053137382938)"
"(120, 211.7552697618755)"
"(119, 211.71446393922818)"
"(118, 211.66450316516713)"
"(117, 211.605104272906)"
"(118, 211.66450316516713)"
"(120, 211.7552697618755)"
"(121, 211.78720022695475)"
"(123, 211.82553570584)"
"(124, 211.83248220876217)"
"(127, 211.8076122249249)"
"(128, 211.7849475640197)"
"(129, 211.75551788549487)"
"(130, 211.71957145737295)"
"(130, 211.71957145737295)"
"(129, 211.75551788549487)"
"(131, 211.6773531593236)"
"(133, 211.57506364110756)"
"(134, 211.5154654046427)"
"(132, 211.629104501122)"
"(131, 211.6773531593236)"
"(132, 211.629104501122)"
"(133, 211.57506364110756)"
"(134, 211.5154654046427)"
"(135, 211.4505413025715)"
"(134, 211.5154654046427)"
"(135, 211.4505413025715)"
"(136, 211.38051954967884)"
"(137, 211.30562508314884)"
"(138, 211.22607958102364)"
"(137, 211.30562508314884)"
"(139, 211.14210148066198)"
"(140, 211.05390599719848)"
"(142, 210.86570774113417)"
"(143, 210.76611945380867)"
"(145, 210.55697713315115)"
"(145, 210.55697713315115)"
"(146, 210.44781875013425)"
"(148, 210.22129343922492)"
"(149, 210.1043036589447)"
"(150, 209.98507548548858)"
"(151, 209.86378990779932)"
"(154, 209.48935373872771)"
"(155, 209.36158869603204)"
"(157, 209.10263056874984)"
"(158, 208.97176111721237)"
"(160, 208.70802895696826)"
"(161, 208.57547270763789)"
"(160, 208.70802895696826)"
"(157, 209.10263056874984)"
"(156, 209.2326265522034)"
"(153, 209.61575551035676)"
"(152, 209.74062491410095)"
"(150, 209.98507548548858)"
"(149, 210.1043036589447)"
"(147, 210.33586081820758)"
"(149, 210.1043036589447)"
"(150, 209.98507548548858)"
"(152, 209.74062491410095)"
"(153, 209.61575551035676)"
"(156, 209.2326265522034)"
"(157, 209.10263056874984)"
"(160, 208.70802895696826)"
"(161, 208.57547270763789)"
"(164, 208.17682290030356)"
"(165, 208.04409069444793)"
"(168, 207.64827822435322)"
"(169, 207.5175770922826)"
"(173, 207.00432716168265)"
"(174, 206.8790060835241)"
"(178, 206.39310987602764)"
"(179, 206.27602143204032)"
"(183, 205.82825445603086)"
"(184, 205.7219361274915)"
"(188, 205.32183656886545)"
"(189, 205.22852227478958)"
"(190, 205.13805095659413)"
"(191, 205.05049797227238)"
"(197, 204.59040239259147)"
"(198, 204.52520005598146)"
"(208, 204.07094922220918)"
"(209, 204.04632279610993)"
"(218, 204.0056859593394)"
"(219, 204.02176231144924)"
"(230, 204.47802348623654)"
"(231, 204.5450914997501)"
"(244, 205.80290594154084)"
"(245, 205.92891644406708)"
"(262, 208.67466994288313)"
"(263, 208.8698610954186)"
"(282, 213.19234955614863)"
"(283, 213.44869773403454)"
"(305, 219.6195935659068)"
"(306, 219.91862440538713)"
"(326, 226.04668888244916)"
"(327, 226.35552826743603)"
"(346, 232.1096786459777)"
"(347, 232.4024130329578)"
"(348, 232.69374187513696)"
"(349, 232.98361202006183)"
"(350, 233.27197096939082)"
"(365, 237.3825290919951)"
"(366, 237.6401744402385)"
"(379, 240.7689332240072)"
"(380, 240.9915443123875)"
