coors
"(360, 235)"
"(362, 235)"
"(363, 236)"
"(369, 236)"
"(370, 237)"
"(374, 237)"
"(375, 238)"
"(379, 238)"
"(380, 239)"
"(384, 239)"
"(385, 240)"
"(384, 241)"
"(377, 241)"
"(376, 240)"
"(356, 240)"
"(355, 239)"
"(354, 240)"
"(353, 239)"
"(336, 239)"
"(335, 238)"
"(299, 238)"
"(298, 237)"
"(297, 237)"
"(296, 238)"
"(293, 238)"
"(292, 237)"
"(291, 238)"
"(288, 238)"
"(287, 237)"
"(286, 238)"
"(266, 238)"
"(265, 239)"
"(250, 239)"
"(249, 240)"
"(236, 240)"
"(235, 241)"
"(225, 241)"
"(224, 242)"
"(215, 242)"
"(214, 243)"
"(204, 243)"
"(203, 244)"
"(196, 244)"
"(195, 245)"
"(193, 245)"
"(192, 246)"
"(188, 246)"
"(187, 247)"
"(183, 247)"
"(182, 248)"
"(179, 248)"
"(178, 249)"
"(174, 249)"
"(173, 250)"
"(170, 250)"
"(169, 251)"
"(166, 251)"
"(165, 252)"
"(162, 252)"
"(161, 253)"
"(159, 253)"
"(158, 254)"
"(155, 254)"
"(154, 255)"
"(152, 255)"
"(151, 256)"
"(149, 256)"
"(148, 257)"
"(146, 257)"
"(145, 258)"
"(143, 258)"
"(142, 259)"
"(140, 259)"
"(139, 260)"
"(137, 260)"
"(136, 261)"
"(134, 261)"
"(133, 262)"
"(131, 262)"
"(130, 263)"
"(128, 263)"
"(127, 264)"
"(125, 264)"
"(124, 265)"
"(123, 265)"
"(122, 266)"
"(120, 266)"
"(118, 268)"
"(117, 268)"
"(116, 269)"
"(115, 269)"
"(114, 270)"
"(113, 270)"
"(112, 271)"
"(111, 271)"
"(110, 272)"
"(109, 272)"
"(108, 273)"
"(107, 273)"
"(106, 274)"
"(105, 274)"
"(104, 275)"
"(103, 275)"
"(101, 277)"
"(100, 277)"
"(99, 278)"
"(98, 278)"
"(96, 280)"
"(95, 280)"
"(94, 281)"
"(93, 281)"
"(91, 283)"
"(90, 283)"
"(87, 286)"
"(86, 286)"
"(85, 287)"
"(84, 287)"
"(80, 291)"
"(79, 291)"
"(76, 294)"
"(75, 294)"
"(67, 302)"
"(66, 302)"
"(61, 307)"
"(61, 308)"
"(51, 318)"
"(51, 319)"
"(48, 322)"
"(49, 323)"
"(50, 323)"
"(56, 317)"
"(56, 316)"
"(71, 301)"
"(72, 302)"
"(71, 301)"
"(74, 298)"
"(75, 298)"
"(80, 293)"
"(81, 293)"
"(83, 291)"
"(84, 292)"
"(85, 292)"
"(84, 291)"
"(87, 288)"
"(88, 288)"
"(91, 285)"
"(92, 285)"
"(93, 284)"
"(94, 284)"
"(96, 282)"
"(97, 282)"
"(98, 281)"
"(99, 281)"
"(101, 279)"
"(102, 279)"
"(103, 278)"
"(104, 278)"
"(105, 277)"
"(106, 277)"
"(108, 275)"
"(109, 275)"
"(110, 274)"
"(111, 274)"
"(112, 273)"
"(113, 273)"
"(114, 272)"
"(116, 272)"
"(117, 271)"
"(118, 271)"
"(119, 270)"
"(120, 270)"
"(121, 269)"
"(123, 269)"
"(124, 268)"
"(126, 268)"
"(127, 267)"
"(128, 267)"
"(129, 266)"
"(131, 266)"
"(132, 265)"
"(134, 265)"
"(135, 264)"
"(137, 264)"
"(138, 263)"
"(140, 263)"
"(141, 262)"
"(143, 262)"
"(144, 261)"
"(146, 261)"
"(147, 260)"
"(149, 260)"
"(150, 259)"
"(152, 259)"
"(153, 258)"
"(156, 258)"
"(157, 257)"
"(159, 257)"
"(160, 256)"
"(162, 256)"
"(163, 255)"
"(166, 255)"
"(167, 254)"
"(170, 254)"
"(171, 253)"
"(174, 253)"
"(175, 252)"
"(179, 252)"
"(180, 251)"
"(184, 251)"
"(185, 250)"
"(190, 250)"
"(191, 249)"
"(197, 249)"
"(198, 248)"
"(206, 248)"
"(207, 247)"
"(216, 247)"
"(217, 246)"
"(227, 246)"
"(228, 245)"
"(239, 245)"
"(240, 244)"
"(254, 244)"
"(255, 243)"
"(278, 243)"
"(279, 242)"
"(311, 242)"
"(312, 243)"
"(314, 243)"
"(315, 242)"
"(316, 242)"
"(317, 243)"
"(338, 243)"
"(339, 244)"
"(340, 243)"
"(341, 244)"
"(355, 244)"
"(356, 245)"
"(357, 244)"
"(358, 244)"
"(359, 245)"
"(373, 245)"
"(374, 246)"
