coors
"(163, 329)"
"(162, 330)"
"(131, 330)"
"(130, 331)"
"(127, 331)"
"(126, 330)"
"(125, 331)"
"(121, 331)"
"(120, 332)"
"(119, 332)"
"(118, 331)"
"(116, 331)"
"(115, 332)"
"(114, 331)"
"(108, 331)"
"(107, 332)"
"(106, 332)"
"(106, 333)"
"(105, 334)"
"(103, 334)"
"(102, 333)"
"(101, 334)"
"(101, 336)"
"(99, 338)"
"(98, 337)"
"(97, 337)"
"(95, 339)"
"(96, 340)"
"(96, 341)"
"(95, 342)"
"(94, 342)"
"(93, 343)"
"(92, 343)"
"(93, 343)"
"(94, 344)"
"(94, 345)"
"(93, 346)"
"(91, 346)"
"(91, 349)"
"(89, 351)"
"(89, 353)"
"(88, 354)"
"(89, 355)"
"(87, 357)"
"(87, 359)"
"(86, 360)"
"(86, 361)"
"(87, 362)"
"(84, 365)"
"(85, 366)"
"(85, 368)"
"(84, 369)"
"(84, 370)"
"(82, 372)"
"(82, 373)"
"(81, 374)"
"(81, 375)"
"(82, 376)"
"(81, 377)"
"(81, 378)"
"(80, 379)"
"(81, 380)"
"(80, 381)"
"(80, 382)"
"(79, 383)"
"(79, 384)"
"(78, 385)"
"(78, 387)"
"(77, 388)"
"(77, 389)"
"(75, 391)"
"(75, 395)"
"(74, 396)"
"(74, 397)"
"(73, 398)"
"(73, 399)"
"(72, 400)"
"(72, 401)"
"(71, 402)"
"(71, 403)"
"(69, 405)"
"(69, 408)"
"(67, 410)"
"(67, 411)"
"(66, 412)"
"(66, 413)"
"(65, 414)"
"(65, 416)"
"(64, 417)"
"(64, 418)"
"(63, 419)"
"(63, 421)"
"(62, 422)"
"(62, 423)"
"(60, 425)"
"(60, 427)"
"(59, 428)"
"(59, 430)"
"(57, 432)"
"(57, 434)"
"(56, 435)"
"(56, 436)"
"(55, 437)"
"(55, 439)"
"(52, 442)"
"(52, 443)"
"(51, 444)"
"(51, 447)"
"(49, 449)"
"(49, 451)"
"(47, 453)"
"(47, 454)"
"(46, 455)"
"(46, 456)"
"(45, 457)"
"(45, 458)"
"(44, 459)"
"(44, 460)"
"(42, 462)"
"(42, 464)"
"(41, 465)"
"(41, 467)"
"(40, 468)"
"(39, 468)"
"(39, 469)"
"(38, 470)"
"(38, 473)"
"(37, 474)"
"(37, 475)"
"(34, 478)"
"(34, 479)"
"(35, 479)"
"(38, 476)"
"(37, 475)"
"(38, 474)"
"(38, 473)"
"(39, 472)"
"(40, 472)"
"(40, 469)"
"(41, 468)"
"(42, 468)"
"(43, 467)"
"(43, 466)"
"(45, 464)"
"(45, 463)"
"(47, 461)"
"(47, 460)"
"(48, 459)"
"(49, 459)"
"(50, 460)"
"(50, 459)"
"(49, 458)"
"(49, 457)"
"(53, 453)"
"(52, 452)"
"(52, 450)"
"(53, 449)"
"(55, 449)"
"(56, 450)"
"(56, 449)"
"(55, 448)"
"(55, 447)"
"(54, 447)"
"(53, 446)"
"(54, 445)"
"(56, 445)"
"(56, 444)"
"(57, 443)"
"(57, 440)"
"(59, 438)"
"(60, 438)"
"(61, 437)"
"(61, 435)"
"(63, 433)"
"(65, 433)"
"(65, 432)"
"(66, 431)"
"(67, 431)"
"(68, 432)"
"(69, 431)"
"(70, 431)"
"(70, 430)"
"(71, 429)"
"(72, 430)"
"(72, 432)"
"(73, 432)"
"(73, 429)"
"(72, 428)"
"(72, 427)"
"(70, 425)"
"(71, 424)"
"(71, 423)"
"(73, 421)"
"(78, 421)"
"(78, 420)"
"(76, 420)"
"(75, 419)"
"(75, 418)"
"(76, 417)"
"(78, 417)"
"(77, 416)"
"(77, 415)"
"(79, 413)"
"(79, 412)"
"(80, 411)"
"(81, 412)"
"(84, 412)"
"(84, 411)"
"(83, 410)"
"(83, 407)"
"(84, 406)"
"(86, 406)"
"(86, 403)"
"(81, 403)"
"(80, 404)"
"(79, 404)"
"(78, 403)"
"(80, 401)"
"(81, 401)"
