"(0, 0)","(0, 479)"
"(35, 0)","(199, 473)"
"(274, 294)","(199, 473)"
"(313, 203)","(105, 363)"
"(303, 231)","(110, 332)"
"(272, 291)","(168, 458)"
"(277, 293)","(192, 470)"
"(323, 168)","(156, 364)"
"(326, 155)","(121, 370)"
"(318, 200)","(212, 438)"
"(322, 184)","(201, 454)"
"(318, 200)","(396, 465)"
"(315, 211)","(437, 375)"
"(315, 211)","(395, 432)"
"(322, 170)","(156, 298)"
"(310, 215)","(363, 296)"
"(327, 162)","(334, 270)"
"(324, 163)","(283, 256)"
"(327, 148)","(292, 421)"
