image ,3dcoors,truth
1,-254.2975 -52.5455 0.6226,-266.4381 -63.0780 52.4038
2,-262.5727 -81.2217 20.2363,-278.3877 -44.8932 40.6711
3,-254.741 -84.7269 -25.3715,-250.3086 -106.9278 -3.0517
4,-242.6778 -64.5865 -23.1318,-251.9954 -102.5567 -22.6821
5,-269.3520 -74.8769 43.3254,-261.2843 -78.0145 47.8615
6,-272.4862 -92.6382 42.5602,-266.9150 -66.2891 48.5054
7,-263.6463 -93.3651 -10.7384,-255.4562 -104.5257 4.9382
8,-261.2257 -53.0061 -35.2394,-260.2966 -97.3242 -6.4347
9,-268.8608 -53.2530 11.2806,-276.1004 -53.3325 15.3103
10,-283.8845 -13.1338 32.6122,-273.1714 -59.3925 31.4563
11,-282.8588 37.0160 6.1900,-271.5624 33.8995 32.9375
12,-269.1580 31.0066 -29.1074,-267.4427 46.3583 -23.4953
